State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
NV,148,415,No,No,0,279.3,104,47.48,201.6,87,17.14,280.8,99,12.64,7.9,2,2.13,2,True
CA,185,408,No,No,0,139.6,92,23.73,250.2,115,21.27,158.1,79,7.11,10.8,4,2.92,1,False
UT,95,415,No,No,0,157.9,103,26.84,259.6,90,22.07,230.0,117,10.35,14.0,2,3.78,0,False
TX,53,415,No,No,0,119.7,113,20.35,189.7,84,16.12,256.2,108,11.53,12.9,7,3.48,2,False
NY,125,415,No,No,0,233.3,65,39.66,209.8,93,17.83,210.6,109,9.48,9.1,4,2.46,1,False
TX,1,415,No,No,0,182.1,106,30.96,134.9,106,11.47,152.3,75,6.85,10.0,3,2.7,5,True
CT,160,415,No,No,0,234.9,136,39.93,270.8,134,23.02,219.3,101,9.87,13.9,2,3.75,1,True
ND,90,415,No,Yes,22,124.5,94,21.17,231.7,90,19.69,222.2,108,10.0,6.4,12,1.73,1,False
AR,122,415,Yes,No,0,146.3,117,24.87,218.7,93,18.59,236.0,97,10.62,11.5,5,3.11,1,False
UT,83,510,No,No,0,208.9,71,35.51,214.8,92,18.26,247.9,108,11.16,13.0,5,3.51,1,False
IN,7,415,No,No,0,206.7,87,35.14,281.1,83,23.89,158.5,77,7.13,11.0,5,2.97,3,False
NY,131,408,Yes,No,0,122.3,83,20.79,118.8,94,10.1,147.9,95,6.66,13.7,3,3.7,3,True
OR,161,408,No,No,0,196.6,73,33.42,170.2,79,14.47,194.3,79,8.74,12.5,3,3.38,1,False
WA,177,415,No,No,0,266.1,91,45.24,225.2,79,19.14,224.7,58,10.11,8.9,8,2.4,3,True
WV,131,415,No,No,0,196.1,89,33.34,185.5,87,15.77,250.0,132,11.25,5.2,6,1.4,2,False
MN,57,415,No,No,0,272.7,74,46.36,224.9,85,19.12,178.2,104,8.02,10.5,3,2.84,2,True
MS,103,415,No,No,0,129.3,103,21.98,202.8,89,17.24,233.0,126,10.49,12.9,2,3.48,2,False
NV,116,510,No,Yes,35,118.0,103,20.06,167.2,106,14.21,205.7,102,9.26,11.8,2,3.19,2,False
DE,114,415,No,Yes,31,222.8,98,37.88,180.5,105,15.34,151.3,101,6.81,13.0,4,3.51,0,False
CT,63,408,No,Yes,25,190.0,137,32.3,116.6,76,9.91,141.5,110,6.37,12.2,2,3.29,1,False
SC,78,415,No,Yes,21,160.6,85,27.3,223.1,79,18.96,124.0,92,5.58,9.5,1,2.57,2,False
TX,51,415,No,No,0,180.5,88,30.69,134.7,102,11.45,170.7,97,7.68,10.0,3,2.7,2,False
NY,54,510,Yes,No,0,236.3,91,40.17,152.8,130,12.99,160.3,98,7.21,11.2,8,3.02,3,False
WV,70,510,No,Yes,30,143.4,72,24.38,170.0,92,14.45,127.9,68,5.76,9.4,4,2.54,3,False
MS,68,415,No,No,0,94.1,93,16.0,147.6,80,12.55,213.5,85,9.61,10.1,2,2.73,0,False
AL,181,415,No,Yes,27,190.3,93,32.35,249.0,127,21.17,215.7,82,9.71,10.6,4,2.86,1,False
AZ,107,415,No,Yes,32,134.2,101,22.81,211.9,145,18.01,167.6,138,7.54,8.2,5,2.21,1,False
DE,115,415,No,No,0,195.9,111,33.3,227.0,108,19.3,313.2,113,14.09,13.2,1,3.56,2,False
NY,31,408,No,Yes,28,171.8,116,29.21,240.7,125,20.46,245.5,80,11.05,10.6,7,2.86,1,False
HI,108,415,No,No,0,291.6,99,49.57,221.1,93,18.79,229.2,110,10.31,14.0,9,3.78,2,True
NC,161,415,No,No,0,322.3,100,54.79,230.4,135,19.58,241.5,104,10.87,7.8,5,2.11,2,True
CT,147,415,No,No,0,124.4,74,21.15,320.9,78,27.28,157.2,126,7.07,10.4,4,2.81,2,False
MO,107,415,No,No,0,146.9,94,24.97,114.3,111,9.72,114.5,97,5.15,11.4,5,3.08,3,False
SC,104,415,No,No,0,109.1,141,18.55,187.1,140,15.9,216.6,100,9.75,10.0,4,2.7,3,False
TX,201,415,No,No,0,225.9,110,38.4,299.1,86,25.42,251.3,81,11.31,11.2,4,3.02,1,True
NH,100,408,No,No,0,218.8,125,37.2,148.3,102,12.61,277.8,97,12.5,9.7,6,2.62,1,False
OR,133,415,No,No,0,143.8,71,24.45,184.0,131,15.64,275.5,132,12.4,12.9,4,3.48,3,False
SC,36,408,No,Yes,43,29.9,123,5.08,129.1,117,10.97,325.9,105,14.67,8.6,6,2.32,2,False
UT,110,408,No,No,0,192.6,102,32.74,178.9,118,15.21,214.6,74,9.66,9.4,4,2.54,1,False
WV,109,415,No,No,0,180.0,100,30.6,229.0,103,19.47,139.4,105,6.27,7.8,8,2.11,3,False
DE,53,415,No,Yes,32,131.2,63,22.3,227.4,125,19.33,178.9,105,8.05,12.8,2,3.46,2,False
OH,68,415,Yes,Yes,24,125.7,92,21.37,275.9,98,23.45,214.5,108,9.65,14.2,6,3.83,3,True
WV,144,510,No,Yes,38,105.0,86,17.85,121.8,123,10.35,221.5,122,9.97,3.7,4,1.0,0,False
KS,164,510,No,Yes,30,238.8,100,40.6,230.0,121,19.55,206.3,66,9.28,13.2,8,3.56,1,False
WI,184,408,No,Yes,12,200.3,76,34.05,253.6,105,21.56,149.3,93,6.72,10.2,5,2.75,0,False
SD,87,415,No,Yes,33,125.0,99,21.25,235.3,81,20.0,215.3,95,9.69,10.2,7,2.75,2,False
MA,58,415,No,Yes,30,178.1,111,30.28,236.7,109,20.12,264.0,118,11.88,8.4,2,2.27,0,False
IL,57,415,No,Yes,30,179.2,105,30.46,283.2,83,24.07,228.1,77,10.26,14.7,5,3.97,1,False
OR,61,415,No,No,0,234.2,76,39.81,216.7,108,18.42,130.6,122,5.88,13.9,2,3.75,1,False
DC,130,510,No,No,0,132.4,81,22.51,200.3,110,17.03,202.5,103,9.11,6.0,1,1.62,2,False
ID,82,415,No,No,0,266.9,83,45.37,229.7,74,19.52,251.7,99,11.33,11.0,6,2.97,3,True
DC,99,415,No,Yes,31,244.1,71,41.5,203.4,58,17.29,234.0,115,10.53,7.7,4,2.08,3,False
MO,116,408,No,No,0,51.1,106,8.69,208.6,137,17.73,198.0,92,8.91,12.3,3,3.32,1,False
CT,74,510,No,No,0,203.8,77,34.65,205.1,111,17.43,154.9,109,6.97,9.0,2,2.43,1,False
MD,83,510,No,No,0,78.1,70,13.28,239.3,115,20.34,144.4,112,6.5,12.3,4,3.32,1,False
SC,111,415,No,Yes,21,127.1,94,21.61,228.3,116,19.41,166.7,108,7.5,7.1,3,1.92,1,False
IN,58,415,No,Yes,22,224.1,127,38.1,238.8,85,20.3,174.2,86,7.84,11.5,7,3.11,2,False
ME,149,415,No,Yes,18,148.5,106,25.25,114.5,106,9.73,178.3,98,8.02,6.5,4,1.76,0,False
OK,52,415,No,No,0,124.9,131,21.23,300.5,118,25.54,192.5,106,8.66,11.6,4,3.13,2,False
WV,68,415,No,No,0,231.1,57,39.29,153.4,55,13.04,191.3,123,8.61,9.6,4,2.59,3,False
TN,74,415,No,Yes,25,234.4,113,39.85,265.9,82,22.6,241.4,77,10.86,13.7,4,3.7,0,False
MN,74,510,No,Yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,False
VT,128,510,No,Yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,False
MA,108,415,No,No,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False
KY,95,408,No,No,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,False
ID,97,408,No,No,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,False
MI,127,415,No,No,0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,False
AZ,94,408,No,No,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,False
SC,78,510,No,No,0,168.3,110,28.61,221.2,73,18.8,241.0,136,10.85,12.5,1,3.38,1,False
OK,89,510,No,No,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,True
CT,96,415,No,Yes,37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5,True
RI,121,408,No,No,0,170.4,108,28.97,350.5,68,29.79,297.0,87,13.37,11.2,3,3.02,0,True
OR,77,510,No,No,0,233.8,104,39.75,266.5,94,22.65,212.7,104,9.57,7.6,3,2.05,2,False
CA,124,408,Yes,No,0,244.6,89,41.58,188.8,80,16.05,206.0,114,9.27,11.3,4,3.05,1,False
SD,91,510,No,No,0,149.0,115,25.33,245.3,105,20.85,260.0,94,11.7,8.3,3,2.24,0,False
AZ,60,415,No,No,0,98.2,88,16.69,180.5,69,15.34,223.6,69,10.06,9.3,2,2.51,2,False
OH,144,415,No,Yes,18,106.4,109,18.09,108.1,113,9.19,208.4,111,9.38,10.1,5,2.73,1,False
OK,52,408,No,No,0,214.7,68,36.5,158.6,138,13.48,123.4,114,5.55,9.4,4,2.54,2,False
WI,69,510,Yes,No,0,279.8,90,47.57,248.7,91,21.14,171.0,118,7.69,8.4,10,2.27,2,True
VT,95,510,Yes,Yes,41,136.8,91,23.26,200.8,61,17.07,133.7,67,6.02,10.3,9,2.78,5,True
PA,91,510,No,No,0,231.8,120,39.41,150.6,106,12.8,269.2,129,12.11,11.6,7,3.13,3,False
WV,32,408,No,Yes,26,266.7,109,45.34,232.3,107,19.75,212.8,98,9.58,16.3,4,4.4,1,False
LA,43,415,No,No,0,241.9,101,41.12,129.4,121,11.0,264.8,104,11.92,5.9,3,1.59,1,False
WV,107,415,No,No,0,123.1,100,20.93,158.4,82,13.46,256.1,82,11.52,9.3,5,2.51,0,False
ND,123,408,No,No,0,159.1,94,27.05,241.6,119,20.54,202.4,120,9.11,6.5,1,1.76,1,False
LA,108,510,No,Yes,30,276.6,99,47.02,220.1,113,18.71,177.9,95,8.01,9.8,6,2.65,2,False
MT,106,510,No,No,0,169.4,107,28.8,197.2,71,16.76,202.2,79,9.1,10.7,4,2.89,1,False
MO,107,415,No,Yes,22,281.1,83,47.79,143.7,130,12.21,239.4,128,10.77,11.2,9,3.02,1,False
NE,123,510,No,No,0,194.0,118,32.98,242.0,114,20.57,146.3,108,6.58,12.1,4,3.27,1,False
SC,87,408,No,No,0,322.5,106,54.83,204.6,93,17.39,186.2,128,8.38,9.4,4,2.54,2,True
IN,100,510,No,No,0,216.2,107,36.75,215.6,84,18.33,138.4,127,6.23,10.2,3,2.75,0,False
MA,136,408,Yes,No,0,199.6,89,33.93,211.4,96,17.97,72.4,84,3.26,11.0,4,2.97,3,True
DC,76,415,No,No,0,224.4,121,38.15,147.9,97,12.57,183.8,74,8.27,6.7,2,1.81,2,False
VT,101,415,No,No,0,153.8,89,26.15,234.0,89,19.89,196.3,77,8.83,11.6,2,3.13,4,False
NJ,48,510,No,Yes,22,152.0,63,25.84,258.8,131,22.0,263.2,109,11.84,15.7,5,4.24,2,True
TX,50,510,No,No,0,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,11.6,8,3.13,3,False
TX,217,408,No,No,0,176.4,115,29.99,158.8,128,13.5,306.6,107,13.8,9.3,3,2.51,4,False
SD,88,415,No,No,0,215.6,115,36.65,216.2,85,18.38,171.3,65,7.71,11.8,1,3.19,3,False
AK,115,415,No,No,0,245.2,105,41.68,159.0,109,13.52,229.9,74,10.35,7.2,8,1.94,0,False
ID,118,415,No,No,0,140.4,112,23.87,187.1,60,15.9,207.9,155,9.36,7.9,1,2.13,0,False
MO,55,510,No,No,0,189.0,100,32.13,118.5,99,10.07,248.1,87,11.16,17.1,6,4.62,0,False
IL,130,415,No,No,0,155.9,95,26.5,256.1,97,21.77,262.9,103,11.83,11.7,3,3.16,3,False
KS,128,415,No,No,0,103.3,122,17.56,245.9,123,20.9,161.1,95,7.25,6.4,7,1.73,0,False
WA,29,415,No,No,0,157.4,122,26.76,145.0,75,12.33,281.8,92,12.68,9.3,2,2.51,1,False
IA,92,510,No,Yes,25,134.0,112,22.78,206.0,111,17.51,180.6,118,8.13,9.7,4,2.62,0,False
CT,144,510,Yes,Yes,35,174.8,127,29.72,219.6,93,18.67,255.8,90,11.51,12.8,3,3.46,0,False
LA,95,415,No,No,0,141.1,84,23.99,211.4,108,17.97,103.7,127,4.67,5.9,6,1.59,3,False
TX,64,415,No,No,0,168.0,116,28.56,192.4,94,16.35,166.5,98,7.49,10.1,3,2.73,2,False
NH,90,415,No,No,0,76.1,121,12.94,290.3,73,24.68,236.9,89,10.66,10.8,3,2.92,0,False
AZ,157,415,No,No,0,220.7,105,37.52,119.3,127,10.14,165.1,113,7.43,11.5,7,3.11,4,False
LA,89,415,No,No,0,141.1,92,23.99,249.1,126,21.17,136.0,73,6.12,10.8,2,2.92,2,False
MA,111,415,No,No,0,284.4,89,48.35,157.0,113,13.35,242.8,91,10.93,8.4,8,2.27,0,True
NM,55,510,No,No,0,119.7,148,20.35,231.8,96,19.7,222.3,113,10.0,4.6,2,1.24,2,False
TN,63,415,No,No,0,164.5,75,27.97,147.9,118,12.57,252.7,97,11.37,11.2,2,3.02,0,False
MI,79,510,No,No,0,220.9,107,37.55,192.2,97,16.34,161.0,74,7.25,12.2,2,3.29,1,False
NH,121,510,No,Yes,35,193.8,62,32.95,197.6,97,16.8,218.8,95,9.85,5.9,4,1.59,0,False
SC,64,510,No,Yes,40,210.0,116,35.7,232.7,89,19.78,168.8,94,7.6,5.9,4,1.59,8,False
MD,163,408,No,No,0,223.0,120,37.91,227.0,98,19.3,188.3,125,8.47,8.8,5,2.38,1,False
MA,80,408,No,No,0,148.6,106,25.26,210.8,65,17.92,203.7,86,9.17,10.0,2,2.7,2,False
VT,137,510,No,No,0,97.5,95,16.58,195.8,82,16.64,288.8,78,13.0,0.0,0,0.0,1,False
NJ,83,415,No,No,0,178.8,102,30.4,167.9,84,14.27,178.9,65,8.05,8.6,4,2.32,3,False
CT,95,415,No,Yes,36,283.1,112,48.13,286.2,86,24.33,261.7,129,11.78,11.3,3,3.05,3,False
WY,16,415,No,No,0,174.7,83,29.7,280.8,122,23.87,171.7,80,7.73,10.5,8,2.84,5,False
AK,96,408,No,Yes,29,150.0,91,25.5,159.4,75,13.55,228.1,55,10.26,8.5,3,2.3,1,False
CT,163,408,No,Yes,40,231.9,56,39.42,211.8,91,18.0,268.5,74,12.08,12.3,3,3.32,2,False
MA,34,415,No,No,0,293.7,89,49.93,272.5,71,23.16,178.2,76,8.02,11.0,10,2.97,2,True
MN,99,408,No,No,0,128.8,86,21.9,203.9,105,17.33,282.6,131,12.72,14.1,4,3.81,2,False
NJ,125,415,No,No,0,182.3,64,30.99,139.8,121,11.88,171.6,96,7.72,11.6,7,3.13,2,False
WY,62,415,No,No,0,172.4,132,29.31,230.5,100,19.59,228.2,109,10.27,11.0,5,2.97,0,False
LA,112,510,No,No,0,174.5,127,29.67,259.3,71,22.04,170.5,120,7.67,11.3,7,3.05,1,False
OH,127,408,No,No,0,139.6,94,23.73,240.9,112,20.48,127.1,88,5.72,8.8,4,2.38,2,False
KS,138,510,No,Yes,26,183.9,83,31.26,240.7,93,20.46,185.7,125,8.36,15.0,3,4.05,1,False
DC,141,415,No,Yes,37,185.4,87,31.52,178.5,128,15.17,218.3,107,9.82,8.0,3,2.16,4,False
WA,97,408,No,No,0,276.1,82,46.94,201.1,106,17.09,231.3,73,10.41,8.9,4,2.4,0,True
WI,107,510,No,Yes,25,248.6,91,42.26,119.3,115,10.14,194.3,83,8.74,12.0,1,3.24,1,False
KY,131,415,No,No,0,166.5,129,28.31,210.2,107,17.87,257.2,93,11.57,9.9,5,2.67,1,False
CT,124,415,No,No,0,131.8,82,22.41,284.3,119,24.17,305.5,101,13.75,11.3,2,3.05,1,False
ME,66,510,No,No,0,118.0,133,20.06,248.1,99,21.09,214.4,122,9.65,5.3,5,1.43,1,False
TX,123,408,No,No,0,260.9,85,44.35,168.5,103,14.32,178.3,91,8.02,13.3,5,3.59,3,False
NM,105,415,No,No,0,193.7,108,32.93,183.2,124,15.57,293.7,72,13.22,10.8,5,2.92,1,False
RI,63,415,Yes,No,0,62.9,112,10.69,202.9,111,17.25,259.0,58,11.66,8.9,8,2.4,1,False
FL,103,415,No,No,0,158.7,90,26.98,198.4,117,16.86,181.1,76,8.15,10.5,4,2.84,1,False
AL,149,415,No,Yes,20,264.4,102,44.95,219.6,123,18.67,200.4,89,9.02,11.3,3,3.05,2,False
NY,122,510,No,No,0,145.6,102,24.75,284.7,111,24.2,228.2,91,10.27,12.2,5,3.29,0,False
CO,132,415,No,No,0,197.8,66,33.63,133.9,119,11.38,177.3,94,7.98,10.9,3,2.94,4,True
ID,92,415,No,No,0,197.2,113,33.52,242.3,116,20.6,192.0,76,8.64,11.0,5,2.97,2,False
AL,148,415,No,Yes,21,262.9,135,44.69,149.5,96,12.71,140.5,109,6.32,8.1,4,2.19,1,False
LA,53,415,No,No,0,145.1,116,24.67,233.7,82,19.86,208.7,95,9.39,7.9,5,2.13,2,False
OR,138,415,Yes,Yes,28,211.2,117,35.9,312.5,98,26.56,178.0,118,8.01,10.7,2,2.89,3,True
KY,58,415,No,No,0,247.2,116,42.02,303.7,103,25.81,105.4,94,4.74,9.3,2,2.51,2,True
MT,101,415,No,No,0,154.4,130,26.25,217.2,101,18.46,185.4,52,8.34,13.9,4,3.75,1,False
ND,122,408,No,No,0,231.2,141,39.3,267.8,136,22.76,240.3,100,10.81,8.8,5,2.38,1,True
TN,196,415,No,No,0,133.1,80,22.63,206.5,120,17.55,221.6,96,9.97,10.3,8,2.78,1,False
IN,81,408,No,Yes,46,168.3,124,28.61,270.9,103,23.03,222.5,98,10.01,6.7,2,1.81,4,False
OR,165,415,No,Yes,33,111.6,140,18.97,213.3,111,18.13,267.6,115,12.04,16.0,3,4.32,0,False
TN,37,415,No,No,0,221.0,126,37.57,204.5,110,17.38,118.0,98,5.31,6.8,3,1.84,4,False
MT,109,510,No,No,0,154.8,82,26.32,287.7,109,24.45,208.4,80,9.38,5.9,9,1.59,3,False
UT,138,510,No,No,0,205.9,96,35.0,257.1,94,21.85,209.0,63,9.4,12.1,8,3.27,0,False
MN,125,415,No,No,0,240.7,82,40.92,269.4,85,22.9,187.1,74,8.42,10.1,3,2.73,0,True
MD,189,415,No,Yes,30,155.2,116,26.38,195.5,50,16.62,170.1,108,7.65,15.4,6,4.16,1,False
OK,84,510,No,No,0,203.4,125,34.58,182.9,88,15.55,213.7,121,9.62,13.8,2,3.73,1,False
NJ,182,415,No,No,0,279.1,124,47.45,180.5,108,15.34,217.5,104,9.79,9.5,11,2.57,2,True
IN,130,408,No,No,0,115.6,129,19.65,167.8,104,14.26,141.8,124,6.38,12.6,9,3.4,1,False
NM,178,415,No,Yes,35,175.4,88,29.82,190.0,65,16.15,138.7,94,6.24,10.5,3,2.84,2,False
SC,112,415,No,No,0,266.0,97,45.22,214.6,94,18.24,306.2,100,13.78,14.2,2,3.83,2,True
WV,104,415,No,No,0,225.9,123,38.4,162.8,106,13.84,272.1,85,12.24,10.1,4,2.73,1,False
WY,134,510,No,No,0,296.0,93,50.32,226.4,117,19.24,246.8,98,11.11,12.3,10,3.32,0,True
TN,148,415,No,Yes,36,77.6,141,13.19,207.0,60,17.6,255.7,115,11.51,10.9,2,2.94,1,False
CT,134,408,No,Yes,32,80.3,94,13.65,199.9,124,16.99,170.8,117,7.69,16.6,3,4.48,0,False
OH,162,415,No,No,0,135.2,98,22.98,242.0,107,20.57,246.9,96,11.11,10.2,2,2.75,2,False
IN,72,510,No,No,0,287.4,116,48.86,235.3,126,20.0,292.1,114,13.14,5.0,3,1.35,4,True
NC,95,408,No,No,0,128.6,115,21.86,216.2,88,18.38,255.3,96,11.49,6.3,2,1.7,6,True
ID,113,415,No,Yes,30,183.8,102,31.25,183.4,123,15.59,235.0,52,10.58,11.6,7,3.13,0,False
RI,76,415,No,No,0,171.1,78,29.09,257.2,83,21.86,91.6,92,4.12,16.2,3,4.37,1,False
CO,103,415,No,Yes,37,153.5,78,26.1,241.9,108,20.56,244.7,110,11.01,10.6,3,2.86,1,False
UT,148,510,No,No,0,203.0,92,34.51,150.9,125,12.83,245.5,131,11.05,14.6,9,3.94,1,False
OR,166,510,No,No,0,199.6,93,33.93,214.3,99,18.22,196.8,110,8.86,7.2,5,1.94,3,False
ME,57,415,No,No,0,221.1,101,37.59,236.7,65,20.12,252.3,137,11.35,9.5,1,2.57,0,False
ND,27,415,No,No,0,227.4,67,38.66,248.0,115,21.08,61.4,109,2.76,7.8,6,2.11,1,False
NH,123,408,No,No,0,224.0,99,38.08,210.7,80,17.91,231.9,75,10.44,2.1,5,0.57,0,False
KY,95,510,No,No,0,157.3,116,26.74,197.5,77,16.79,128.2,111,5.77,8.4,4,2.27,2,False
WV,58,408,No,Yes,39,211.9,40,36.02,274.4,76,23.32,210.5,139,9.47,5.4,4,1.46,1,False
WA,152,510,No,No,0,161.4,84,27.44,163.6,88,13.91,153.2,121,6.89,11.8,5,3.19,1,False
ID,105,408,No,No,0,232.6,96,39.54,253.4,117,21.54,154.0,101,6.93,10.5,9,2.84,1,False
KY,79,415,No,No,0,236.8,135,40.26,186.4,87,15.84,126.9,112,5.71,10.4,5,2.81,2,False
AK,99,510,No,No,0,238.4,96,40.53,246.5,130,20.95,198.4,117,8.93,12.4,4,3.35,3,False
AZ,48,415,No,Yes,27,141.1,109,23.99,224.7,94,19.1,174.3,122,7.84,13.2,2,3.56,1,False
CA,84,415,No,No,0,280.0,113,47.6,202.2,90,17.19,156.8,103,7.06,10.4,4,2.81,0,True
CT,184,510,Yes,No,0,213.8,105,36.35,159.6,84,13.57,139.2,137,6.26,5.0,10,1.35,2,False
HI,1330,510,No,No,0,217.1,615,16.95,1752.4,101,17.11,189.7,103,11.49,95.7,83,29.1,30,False
KY,1350,415,No,Yes,0,1308.3,90,337.5,1272.9,112,127.0,223.5,756,75.9,6.8,6,20.1,0,False
